Year,Count,Kimarite,Filename
2018,196,tsukidashi,2018.csv
2018,184,oshitaoshi,2018.csv
2018,160,yoritaoshi,2018.csv
2018,132,sukuinage,2018.csv
2019,1280,yorikiri,2019.csv
2019,1226,oshidashi,2019.csv
2019,510,hatakikomi,2019.csv
2019,302,tsukiotoshi,2019.csv
2019,216,uwatenage,2019.csv
2019,188,hikiotoshi,2019.csv
2019,174,tsukidashi,2019.csv
2019,146,oshitaoshi,2019.csv
2019,134,okuridashi,2019.csv
2019,126,yoritaoshi,2019.csv
